"COU","Country","SOURCE","Source","VAR","Variable","YEA","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"CZE","Czech Republic","TOTAL_ABSTRACT","Total freshwater","COOL_IND","Manufacturing cooling","2015","2015",,,"0","Units",,,41.6,,
"CZE","Czech Republic","TOTAL_ABSTRACT","Total freshwater","COOL_IND","Manufacturing cooling","2016","2016",,,"0","Units",,,37.7,,
"CZE","Czech Republic","TOTAL_ABSTRACT","Total freshwater","COOL_IND","Manufacturing cooling","2017","2017",,,"0","Units",,,35.4,,
"CZE","Czech Republic","TOTAL_ABSTRACT","Total freshwater","COOL_IND","Manufacturing cooling","2018","2018",,,"0","Units",,,39.4,,
"LVA","Latvia","TOTAL_ABSTRACT","Total freshwater","AGRICULTURE","Agriculture, forestry, fishing","2000","2000","M3","Cubic metres","6","Millions",,,47.433,,
"LVA","Latvia","TOTAL_ABSTRACT","Total freshwater","AGRICULTURE","Agriculture, forestry, fishing","2005","2005","M3","Cubic metres","6","Millions",,,50.667,,
"LVA","Latvia","TOTAL_ABSTRACT","Total freshwater","AGRICULTURE","Agriculture, forestry, fishing","2010","2010","M3","Cubic metres","6","Millions",,,33.655,,
"LVA","Latvia","TOTAL_ABSTRACT","Total freshwater","AGRICULTURE","Agriculture, forestry, fishing","2011","2011","M3","Cubic metres","6","Millions",,,22.582,,
"LVA","Latvia","TOTAL_ABSTRACT","Total freshwater","AGRICULTURE","Agriculture, forestry, fishing","2012","2012","M3","Cubic metres","6","Millions",,,41.041,,
"LVA","Latvia","TOTAL_ABSTRACT","Total freshwater","AGRICULTURE","Agriculture, forestry, fishing","2013","2013","M3","Cubic metres","6","Millions",,,35.889,,
"LVA","Latvia","TOTAL_ABSTRACT","Total freshwater","AGRICULTURE","Agriculture, forestry, fishing","2014","2014","M3","Cubic metres","6","Millions",,,37.287,,
"LVA","Latvia","TOTAL_ABSTRACT","Total freshwater","AGRICULTURE","Agriculture, forestry, fishing","2015","2015","M3","Cubic metres","6","Millions",,,49.4,,
"LVA","Latvia","TOTAL_ABSTRACT","Total freshwater","AGRICULTURE","Agriculture, forestry, fishing","2016","2016","M3","Cubic metres","6","Millions",,,58.357,,
"LVA","Latvia","TOTAL_ABSTRACT","Total freshwater","AGRICULTURE","Agriculture, forestry, fishing","2017","2017","M3","Cubic metres","6","Millions",,,54.808,,
